experiment_id,anomaly_type_cls,anomaly_location_cls,t_cls_accuracy,t_cls_f1_score_micro,t_cls_f1_score_macro,l_cls_accuracy,l_cls_f1_score_micro,l_cls_f1_score_macro,fr_bleu_score,fr_meteor_score,fr_bert_score_F1,fr_bert_score_P,fr_bert_score_R,fr_rouge_score_F1,fr_rouge_score_P,fr_rouge_score_R
pkt_loss_100-f1-c_dl-itr_4,Network Packet Loss,F1-c interface,1.0,1.0,1.0,1.0,1.0,1.0,0.29112580333633453,0.5024702783183966,0.5480985641479492,0.5382995009422302,0.5564561486244202,0.45454543828964233,0.46052631735801697,0.44871795177459717
pkt_loss_medium-f1-u_dl-itr_1,Network Packet Loss,F1-u interface,1.0,1.0,1.0,1.0,1.0,1.0,0.0034609903496680733,0.09754335260115606,-0.06315842270851135,-0.022938501089811325,-0.1061243861913681,0.08771929889917374,0.11976047605276108,0.06920415163040161
pkt_loss_high-f1-c_dl-itr_2,Network Packet Loss,F1-c interface,1.0,1.0,1.0,1.0,1.0,1.0,0.2396236636704917,0.45938588436411726,0.6050847768783569,0.5894537568092346,0.6195107102394104,0.42904287576675415,0.442176878452301,0.4166666567325592
pkt_loss_low-a1_downstream-itr_2,Network Packet Loss,A1 interface,1.0,1.0,1.0,1.0,1.0,1.0,0.2674447485431104,0.4626497437091606,0.5993921160697937,0.6017649173736572,0.595718502998352,0.40401145815849304,0.40751445293426514,0.4005681872367859
pkt_delay_low-e2_upstream-itr_5,Network Latency,E2 interface,1.0,1.0,1.0,1.0,1.0,1.0,0.006098748007821016,0.18512327549142574,-0.09047338366508484,-0.044335365295410156,-0.1392262578010559,0.13289035856723785,0.13333334028720856,0.13245032727718353
pkt_delay_medium-a1_downstream-itr_4,Network Latency,A1 interface,1.0,1.0,1.0,1.0,1.0,1.0,0.21979374431112705,0.38896244499914157,0.3785680830478668,0.4112074077129364,0.34433016180992126,0.32238805294036865,0.33128833770751953,0.3139534890651703
pkt_delay_low-f1-c_dl-itr_1,Network Latency,F1-u interface,1.0,1.0,1.0,0.0,0.0,0.0,0.0026792838331885843,0.13716525146962769,0.04628999903798103,0.03285231813788414,0.0566793754696846,0.09069212526082993,0.06785714626312256,0.1366906464099884
pkt_loss_100-f1-c_dl-itr_2,Network Packet Loss,F1-c interface,1.0,1.0,1.0,1.0,1.0,1.0,0.271281400987552,0.5045156649616368,0.5040189623832703,0.4887067377567291,0.5177937746047974,0.40506330132484436,0.4000000059604645,0.41025641560554504
pkt_loss_high-a1_downstream-itr_5,Network Latency,A1 interface,0.0,0.0,0.0,1.0,1.0,1.0,0.00964427893928133,0.15737336504161714,-0.06647885590791702,7.181105320341885e-05,-0.1346299648284912,0.145985409617424,0.20408163964748383,0.11363636702299118
pkt_delay_medium-f1-u_dl-itr_1,Network Latency,F1-u interface,1.0,1.0,1.0,1.0,1.0,1.0,0.20752522270286694,0.4349809158752248,0.4752899706363678,0.4685310125350952,0.4803541600704193,0.3564668893814087,0.33832335472106934,0.3766666650772095
pkt_delay_high-f1-u_dl-itr_3,Network Latency,F1-u interface,1.0,1.0,1.0,1.0,1.0,1.0,0.251081518137183,0.4880880020126597,0.5544074177742004,0.5612744688987732,0.5461118817329407,0.3655914068222046,0.3390313386917114,0.39666667580604553
pkt_loss_100-a1_downstream-itr_2,Network Packet Loss,A1 interface,1.0,1.0,1.0,1.0,1.0,1.0,0.22823229352086097,0.4274000294176673,0.5106287598609924,0.48682940006256104,0.5330293774604797,0.4154302775859833,0.43478259444236755,0.39772728085517883
pkt_delay_medium-a1_downstream-itr_1,Network Latency,A1 interface,1.0,1.0,1.0,1.0,1.0,1.0,0.21756588715395017,0.4089284415017462,0.38555291295051575,0.42171940207481384,0.3479020595550537,0.3596491515636444,0.36176469922065735,0.35755813121795654
pkt_loss_low-e2_upstream-itr_4,Network Packet Loss,E2 interface,1.0,1.0,1.0,1.0,1.0,1.0,0.1298221188985089,0.4371385550677645,0.3493347465991974,0.3519180119037628,0.3446389436721802,0.3227953314781189,0.2643051743507385,0.4145299196243286
pkt_delay_low-f1-u_dl-itr_3,Network Latency,F1-u interface,1.0,1.0,1.0,1.0,1.0,1.0,0.21051127897214184,0.4053198412372705,0.5205187201499939,0.5327810645103455,0.5067586302757263,0.369905948638916,0.3491124212741852,0.3933333456516266
